VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,29
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,28
359,1413,471,25999,27
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,27
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,25
359,1413,471,25999,27
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,27
359,1413,471,25999,25
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,26
359,1413,471,25999,27
