VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
20,60,20,1,0
