VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,2
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,2
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,2
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,2
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,1
54,168,56,558,0
54,168,56,558,1
