VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
627,2376,792,63141,65
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,65
627,2376,792,63141,65
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,65
627,2376,792,63141,62
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,65
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,63
627,2376,792,63141,65
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,65
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,62
627,2376,792,63141,64
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,65
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,65
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,64
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,61
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,64
627,2376,792,63141,62
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,64
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,65
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,65
627,2376,792,63141,63
627,2376,792,63141,63
627,2376,792,63141,62
627,2376,792,63141,64
