VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,5
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,2
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,2
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,5
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,5
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,2
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,2
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,2
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,5
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,5
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,6
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,5
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,2
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,2
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,2
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
64,192,64,1692,1
64,192,64,1692,1
64,192,64,1692,4
