VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,8
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,8
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,8
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,8
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
52,150,50,7022,7
