VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,17
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,17
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,17
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,17
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,17
308,1086,362,16101,16
308,1086,362,16101,16
308,1086,362,16101,16
