VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,64
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,65
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,63
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,61
627,2376,792,62149,62
627,2376,792,62149,65
627,2376,792,62149,62
627,2376,792,62149,63
627,2376,792,62149,63
627,2376,792,62149,62
627,2376,792,62149,62
627,2376,792,62149,62
