VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,40
300,978,326,39002,40
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,37
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,40
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,37
300,978,326,39002,40
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,37
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,40
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,37
300,978,326,39002,38
300,978,326,39002,40
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,37
300,978,326,39002,39
300,978,326,39002,42
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,39
300,978,326,39002,39
300,978,326,39002,38
300,978,326,39002,40
300,978,326,39002,37
